District,AC. No.,Constituency,TMC+,BJP+,Left+,Congress+
Cooch Behar,1,Mekliganj (SC),Paresh Chandra Adhikary,Dadhiram Roy,Kamal Roy,Ila Rani Roy
,2,Mathabhanga (SC),Sablu Barman,Nisith Pramanik,Khagen Barman,Khitendra Nath Barman
,3,Cooch Behar Uttar (SC),Partha Pratim Roy,Sukumar Roy,Pranay Karji,Partha Pratim Ishore
,4,Cooch Behar Dakshin,Avijit Dey Bhowmik,Rathindra Nath Bose,Nazmul Alam Sarkar,Khokan Mian
,5,Sitalkuchi (SC),Harihar Das,Savitri Barman,Nabadipti Adhikari,Sukamal Barman
,6,Sitai (SC),Sangita Roy,Ashutosh Barma,Arun Kumar Barma,Rabin Roy
,7,Dinhata,Udayan Guha,Ajay Roy,Bikash Mondal,Harihar Ray Singha
,8,Natabari,Sailen Barman,Girija Shankar Roy,Akik Hassan,Biswajit Sarkar
,9,Tufanganj,Shib Shankar Paul,Malati Rava Roy,Dhananjoy Rava,Debendra Nath Barma
Alipurduar,10,Kumargram (ST),Rajeev Tirkey,Manoj Kumar Oraon,Kishore Minz,Sudham Lama
,11,Kalchini (ST),Birendra Bara,Bishal Lama,Passang Sherpa,Anjan Chik Baraik
,12,Alipurduars,Suman Kanjilal,Paritosh Das,Shyamal Roy,Mrinmoy Sarkar
,13,Falakata (SC),Subhas Chandra Roy,Dipak Barman,Kamal Kishore Roy,Akshoy Kumar Barman
,14,Madarihat (ST),Jay Prakash Toppo,Lakshman Limbu,Subhas Lohar,Joy Prafulla Lakra
Jalpaiguri,15,Dhupguri (SC),Nirmal Chandra Roy,Naresh Chandra Roy,Niranjan Roy,Harish Chandra Roy
,16,Maynaguri (SC),Rammohan Roy,Dalim Roy,Sudeb Roy,Jogen Sarkar
,17,Jalpaiguri (SC),Krishna Das,Ananta Deb Adhikary,Debraj Barman,Sudipto Mohonto
,18,Rajganj (SC),Swapna Barman,Dinesh Sarkar,Kharendranath Roy,Tushar Kanti Roy
,19,Dabgram-Phulbari,Ranjan Shil Sharma,Shikha Chatterjee,Dilip Singh,Rohit Singh Sisodia
,20,Mal (ST),Bulu Chik Baraik,Sukra Munda,Manu Oraon,Rakesh Kujur
,21,Nagrakata (ST),Sanjay Kujur,Puna Bhengra,Dilkumar Oraon,Shinu Munda
Kalimpong,22,Kalimpong,Ruden Sada Lepcha,Bharat Chhetri,Rita Thapa,Santa Kumar Pradhan
Darjeeling,23,Darjeeling,Bijoy Kumar Rai,Noman Rai,,Madhap Rai
,24,Kurseong,Amar Lama,Sonam Lama,Uttam Sharma,Saroj Kumar Khatri
,25,Matigara-Naxalbari (SC),Shankar Malakar,Anandamoy Barman,Jharen Roy,Amitava Sarkar
,26,Siliguri,Goutam Deb,Shankar Ghosh,Sharadindu Chakraborty,Aloke Dhara
,27,Phansidewa (ST),Reena Toppo Ekka,Durga Murmu,Sumanti Ekka,Nabanita Tirkey
Uttar Dinajpur,28,Chopra,Hamidul Rahaman,Shankar Adhikari,Makleswar Rahaman,Zakir Abedin
,29,Islampur,Kanaia Lal Agarwal,Chitrajit Roy,Sami Khan,Guddi Riaz
,30,Goalpokhar,Md. Ghulam Rabbani,Sarajit Biswas,Zamaluddin,Masood Md Naseem Ahsen
,31,Chakulia,Minhajul Arfin Azad,Manoj Jain,Amjad Ali,Ali Imran Ramz (Victor)
,32,Karandighi,Goutam Paul,Biraj Biswas,Haji Sahabuddin,Murshid Alam
,33,Hemtabad (SC),Satyajit Barman,Haripada Barman,Tanushree Das,Anamika Roy
,34,Kaliaganj (SC),Nitai Baishya,Utpal Maharaj,Hirubala Roy,Girdhari Pramanik
,35,Raiganj,Krishna Kalyani,Kaushik Chowdhury,Jibananda Singha,Mohit Sengupta
,36,Itahar,Mosaraf Hussen,Sabita Barman,Utpal Das,Amal Acharjee
Dakshin Dinajpur,37,Kushmandi (SC),Rekha Roy,Tapas Chandra Roy,Jyotirmoy Roy,Bablu Sarkar
,38,Kumarganj,Toraf Hossain Mandal,Suvendu Sarkar,Mofazzal Hossain,Gulam Martuja Mandal
,39,Balurghat,Arpita Ghosh,Bidyut Roy,Arnab Choudhury,Pradip Kumar Mitra
,40,Tapan (ST),Chintamoni Biha,Budhrai Tudu,Bappai Haro,Bankim Chandra Toppo
,41,Gangarampur (SC),Goutam Das,Satyendra Nath Ray,Biplab Barman,Jui Barman
,42,Harirampur,Biplab Mitra,Debabrata Majumder,Gautam Goswami,Subhasish Pal
Malda,43,Habibpur (ST),Amal Kisku,Joyel Murmu,Basudeb Barman,Rajen Soren
,44,Gazole (SC),Prasenjit Das,Chinmoy Deb Barman,Khitish Sarkar,Prem Chowdhury
,45,Chanchal,Prasun Banerjee,Ratan Das,Anawarul Haque,Asif Mehbub
,46,Harishchandrapur,Md. Matibur Rahaman,Ratan Das,Sheikh Khalil,Mostaque Alam
,47,Malatipur,Abdur Rahim Boxi,Ashish Das,Minarul Hossain,Mausam Noor
,48,Ratua,Samar Mukherjee,Abhishek Singhania,Jahur Alam,Mottakin Alam
,49,Manikchak,Kabita Mandal,Gour Chandra Mondal,Debojyoti Sinha,Md. Ansarul Hoque
,50,Maldaha (SC),Lipika Barman Ghosh,Gopal Chandra Saha,Dipak Barman,Bhupendra Nath Halder
,51,English Bazar,Ashish Kundu,Amlan Bhaduri,Ambar Mitra,Masud Alam
,52,Mothabari,Md. Najrul Islam,Nibaran Ghosh,Moulana Shajahan Ali,Sayem Chowdhury
,53,Sujapur,Sabina Yeasmin,Abhijit Rajak[c],Md. Karimullah Haque,Md. Abdul Hannan
,54,Baisnabnagar,Chandana Sarkar,Raju Karmakar,Dundubhi Saha,Mamuni Mandal
Murshidabad,55,Farakka,Amirul Islam,Sunil Chowdhury,Mojaffar Hossain,Md. Mahtab Sheikh
,56,Samserganj,Nur Alam,Shashthi Charan Ghosh,Mohammad Odud Hassan,Nazme Alam
,57,Suti,Emani Biswas,Mahabir Ghosh,A.K.M. Hasanuzzaman,Alfazuddin Biswas
,58,Jangipur,Jakir Hossain,Chitto Mukherjee,Alok Kumar Das,Mohammad Imran Ali
,59,Raghunathganj,Akhruzzaman,Surajit Poddar,Abul Hasnat,Nasir Sheikh
,60,Sagardighi,Bayron Biswas,Tapas Chakraborty,Masiur Rahaman[d],Manoj Chakraborty
,61,Lalgola,Dr. Abdul Aziz,Amar Kumar Das,Md. Babluzzaman,Md. Touhidur Rahaman
,62,Bhagabangola,Reyat Hossain Sarkar,Bhaskar Sarkar,Mahmudal Hassan,Anju Begum
