AC No.,Constituency,TMC Candidate,BJP Candidate
1,Mekliganj (SC),Paresh Chandra Adhikary,Dadhiram Roy
2,Mathabhanga (SC),Sablu Barman,Nisith Pramanik 🔥
3,Coochbehar Uttar (SC),Partha Pratim Roy,Sukumar Roy
4,Coochbehar Dakshin,Avijit De Bhowmick,Rathindranath Bose
5,Sitalkuchi (SC),Harihar Das,Savitri Barman
7,Dinhata,Udayan Guha,Ajay Roy
9,Tufanganj,Shib Sankar Paul,Malati Rava Roy
10,Kumargram (ST),Rajeev Tirkey,Manoj Kumar Oraon
11,Kalchini (ST),Birendra Bara,Bishal Lama
12,Alipurduar,Suman Kanjilal,Paritosh Das
13,Falakata (SC),Subhash Chandra Roy,Deepak Barman
14,Madarihat (ST),Jayprakash Toppo,Lakshman Limbu
15,Dhupguri (SC),Dr Nirmal Chandra Roy,Naresh Chandra Roy
16,Maynaguri (SC),Ram Mohan Roy,Kaushik Roy
17,Jalpaiguri (SC),Krishna Das,Ananta Deb Adhikary
19,Dabgram-Phulbari,Ranjan Shil Sharma,Shikha Chatterjee
20,Mal (ST),Bulu Chik Baraik,Sukra Munda
21,Nagrakata (ST),Sanjay Kujur,Puna Bhengra
22,Kalimpong,Seat left for BGPM ally,Bharat Chetri
23,Darjeeling,Seat left for BGPM ally,Noman Rai
24,Kurseong,Seat left for BGPM ally,Sonam Lama
25,Matigara-Naxalbari (SC),Sankar Malakar,Anandamay Barman
26,Siliguri,Goutam Deb,Dr. Shankar Ghosh
27,Phansidewa (ST),Reena Toppo Ekka,Durga Murmu
28,Chopra,Hamidul Rahaman,Shankar Adhikari
29,Islampur,Kanaia Lal Aggarwal,Chiranjit Roy
31,Chakulia,Minhajul Arfin Azad,Manoj Jain
33,Hemtabad (SC),Satyajit Barman,Haripada Barman
35,Raiganj,Krishna Kalyani,Dinesh Sarkar
36,Itahar,Mosaraf Hussain,Sabita Barman
46,Harishchandrapur,Md. Matebur Rahman,Ratan Das
51,English Bazar,Asis Kundu,Amlan Bhaduri
54,Baisnabnagar,Chandana Sarkar,Raju Karmakar
55,Farakka,Amirul Islam,Sunil Chowdhury
56,Samsherganj,Nur Alam,Shashthi Charan Ghosh
58,Jangipur,Jakir Hossain,Chitto Mukherjee
60,Sagardighi,Bayron Biswas,Tapas Chakraborty
63,Raninagar,Soumik Hussain,Rana Pratap Singh Roy
65,Nabagram (SC),Pranab Chandra Das,Dilip Saha
67,Burwan (SC),Pratima Rajak,Sukhen Kumar Bagdi
68,Kandi,Apurba Sarkar (David),Gargi Das Ghosh
78,Tehatta,Dilip Poddar,Subrata Kabiraj
81,Nakashipara,Kallol Kha,Shantanu Dey
82,Chapra,Jeber Sekh,Saikat Sarkar
85,Krishnanagar Dakshin,Ujjwal Biswas,Sadhan Ghosh
86,Santipur,Braja Kishore Goswami,Swapan Das
87,Ranaghat U. Paschim,Tapas Ghosh,Parthasarathi Chatterjee
88,Krishnaganj (SC),Samir Kumar Poddar,Sukanta Biswas
89,Ranaghat U. Purba (SC),Barnali Dey Roy,Asim Biswas
95,Bangaon Uttar (SC),Biswajit Das,Ashok Kirtania
96,Bangaon Dakshin (SC),Rituparna Addhya,Swapan Majumder
97,Gaighata (SC),Narottam Biswas,Subrata Thakur
105,Bhatpara,Amit Gupta,Pawan Singh
106,Jagatdal,Somenath Shyam Ichini,Rajesh Kumar
107,Noapara,Trinankur Bhattacharya,Arjun Singh 🔥
108,Barrackpore,Raju Chakrabarty (Raj),Koustav Bagchi
109,Khardaha,Devdeep Purohit,Dr. Kalyan Chakraborty
111,Panihati,Tirthankar Ghosh,RG Kar Victim's Mother 🔥
112,Kamarhati,Madan Mitra 🔥,Arup Choudhury
113,Baranagar,Sayantika Banerjee,Sajal Ghosh 🔥
126,Hingalganj (SC),Ananda Sarkar,Rekha Patra 🔥
136,Jaynagar (SC),Biswanath Das,Alok Halder
137,Baruipur Purba (SC),Bivas Sardar,Tumpa Sardar
138,Canning Paschim (SC),Paresh Ram Das,Prasanta Bayen
140,Baruipur Paschim,Biman Banerjee,Biswajit Paul
142,Magrahat Paschim,Shamim Ahmed,Gour Sundar Ghosh
145,Satgachia,Somashree Betal,Agniswar Naskar
147,Sonarpur Dakshin,Arundhuti Maitra (Lovely),Roopa Ganguly 🔥
148,Bhangar,Saokat Molla,Jayanta Gayen
149,Kasba,Javed Ahmed Khan,Sandeep Banerjee
150,Jadavpur,Debabrata Majumdar,Sarbori Mukherjee
152,Tollygunge,Aroop Biswas 🔥,Papiya (Dey) Adhikari
153,Behala Purba,Subhasish Chakraborty,Sunil Maharaj
154,Behala Paschim,Ratna Chatterjee,Dr. Indranil Khan
155,Maheshtala,Subhasis Das,Tamanath Bhowmik
159,Bhabanipur,Mamata Banerjee 🔥,Suvendu Adhikari 🔥
160,Rashbehari,Debasish Kumar,Swapan Dasgupta 🔥
161,Ballygunge,Sovandeb Chattopadhyay 🔥,Dr. Shatrupa
163,Entally,Sandipan Saha,Priyanka Tibrewal 🔥
170,Howrah Madhya,Arup Roy,Biplob Mandal
172,Shibpur,Dr Rana Chatterjee,Rudranil Ghosh 🔥
185,Uttarpara,Sirsanya Bandopadhyay,Dipanjan Chakraborty
188,Singur,Becharam Manna,Arup Kumar Das
189,Chandannagar,Indranil Sen,Dipanjan Kumar Guha
190,Chunchura,Debangshu Bhattacharya 🔥,Subir Nag
196,Haripal,Dr. Karabi Manna,Madhumita Ghosh
203,Tamluk,Dipendra Narayan Roy,Hare Krishna Bera
207,Nandakumar,Sukumar Dey,Nirmal Khanra
210,Nandigram,Pabitra Kar,Suvendu Adhikari 🔥
214,Bhagabanpur,Manab Kumar Porua,Santanu Pramanik
215,Khejuri (SC),Rabin Chandra Mandal,Subrata Paik
